epoch	train_loss	train_acc	test_loss	test_acc
0	0.307507	0.890625	0.169744	0.937500
1	0.246464	0.921875	0.152470	0.937500
2	0.202788	0.937500	0.140916	0.937500
3	0.261330	0.921875	0.131597	0.937500
4	0.249215	0.921875	0.123886	0.950000
5	0.204249	0.937500	0.119533	0.962500
6	0.266516	0.906250	0.115119	0.962500
7	0.197535	0.937500	0.110414	0.962500
8	0.156606	0.937500	0.106895	0.962500
9	0.145842	0.953125	0.103696	0.962500
10	0.186032	0.937500	0.100397	0.962500
11	0.173007	0.921875	0.098411	0.962500
12	0.112770	0.984375	0.098329	0.962500
13	0.174819	0.921875	0.098060	0.962500
14	0.173736	0.937500	0.094581	0.962500
15	0.186175	0.937500	0.091115	0.962500
16	0.145626	0.937500	0.089852	0.962500
17	0.114582	0.984375	0.089137	0.962500
18	0.167938	0.953125	0.088222	0.962500
19	0.147380	0.968750	0.086986	0.962500
20	0.175900	0.953125	0.085289	0.962500
21	0.206920	0.921875	0.083193	0.962500
22	0.146968	0.968750	0.082714	0.962500
23	0.173116	0.937500	0.081954	0.962500
24	0.098864	0.968750	0.080605	0.962500
25	0.119992	0.953125	0.080464	0.962500
26	0.088157	0.968750	0.079474	0.962500
27	0.093910	0.968750	0.078686	0.962500
28	0.134315	0.937500	0.078722	0.962500
29	0.138906	0.937500	0.078239	0.962500
30	0.071556	0.984375	0.080515	0.962500
31	0.185124	0.921875	0.080574	0.962500
32	0.121679	0.937500	0.082960	0.962500
33	0.091868	0.968750	0.083209	0.962500
34	0.159479	0.937500	0.083240	0.962500
35	0.079939	0.968750	0.083754	0.962500
36	0.070261	0.968750	0.084536	0.962500
37	0.095390	0.968750	0.084481	0.962500
38	0.115412	0.953125	0.083461	0.962500
39	0.162204	0.937500	0.083346	0.962500
40	0.076473	0.984375	0.083007	0.962500
41	0.066433	0.984375	0.083140	0.962500
42	0.134388	0.953125	0.083697	0.962500
43	0.168113	0.921875	0.084147	0.962500
44	0.090950	0.937500	0.084036	0.962500
45	0.106805	0.984375	0.083744	0.962500
46	0.122239	0.984375	0.083851	0.962500
47	0.131564	0.921875	0.083522	0.962500
48	0.087342	0.968750	0.083556	0.962500
49	0.215665	0.890625	0.083440	0.962500
50	0.120418	0.921875	0.083206	0.962500
51	0.073278	0.984375	0.083370	0.962500
52	0.053703	1.000000	0.083102	0.962500
53	0.120796	0.953125	0.082887	0.962500
54	0.113219	0.968750	0.082936	0.962500
55	0.092978	0.968750	0.082971	0.962500
56	0.018356	1.000000	0.082859	0.962500
57	0.146249	0.953125	0.082927	0.962500
58	0.044684	1.000000	0.082904	0.962500
59	0.121252	0.984375	0.082855	0.962500
Best:0.962500
Aver:0.960625
